,node_loc,technology,year_vtg,lvl,mrg
424,Norway,meth_ng,2050,0.0,0.0
425,Norway,meth_ng,2055,0.0,0.0
426,Norway,meth_ng,2060,0.0,0.0
427,Norway,meth_ng,2065,0.0,0.0
428,Norway,meth_ng,2070,0.0,0.0
429,Norway,meth_ng_ccs,2020,0.0,0.0
430,Norway,meth_ng_ccs,2025,0.0,0.0
431,Norway,meth_ng_ccs,2030,0.0,0.0
432,Norway,meth_ng_ccs,2035,0.0,0.0
433,Norway,meth_ng_ccs,2040,0.0,0.0
434,Norway,meth_ng_ccs,2045,0.0,0.0
435,Norway,meth_ng_ccs,2050,0.0,0.0
436,Norway,meth_ng_ccs,2055,0.0,0.0
437,Norway,meth_ng_ccs,2060,0.0,0.0
438,Norway,meth_ng_ccs,2065,0.0,0.0
439,Norway,meth_ng_ccs,2070,0.0,0.0
440,Norway,ref_hil,1995,0.0,0.0
441,Norway,ref_hil,2000,0.0,0.0
442,Norway,ref_hil,2005,0.0,0.0
443,Norway,ref_hil,2010,0.0,0.0
444,Norway,ref_hil,2015,0.0,0.0
445,Norway,ref_hil,2020,0.0,0.0
446,Norway,ref_hil,2025,0.0,0.0
447,Norway,ref_hil,2030,0.0,0.0
448,Norway,ref_hil,2035,0.0,0.0
449,Norway,ref_hil,2040,0.0,0.0
450,Norway,ref_hil,2045,0.0,0.0
451,Norway,ref_hil,2050,0.0,0.0
452,Norway,ref_hil,2055,0.0,0.0
453,Norway,ref_hil,2060,0.0,0.0
454,Norway,ref_hil,2065,0.0,0.0
455,Norway,ref_hil,2070,142.3309,0.0
456,Norway,nuc_ppl,2010,0.0,0.0
457,Norway,nuc_ppl,2015,0.0,0.0
458,Norway,nuc_ppl,2020,0.0,0.0
459,Norway,nuc_ppl,2025,0.0,0.0
460,Norway,nuc_ppl,2030,0.0,0.0
461,Norway,nuc_ppl,2035,0.0,0.0
462,Norway,nuc_ppl,2040,0.0,0.0
463,Norway,nuc_ppl,2045,0.0,0.0
464,Norway,nuc_ppl,2050,0.0,0.0
465,Norway,nuc_ppl,2055,5.3698688,0.0
466,Norway,nuc_ppl,2060,0.0,0.0
467,Norway,nuc_ppl,2065,20.0,0.0
468,Norway,nuc_ppl,2070,0.0,0.0
469,Norway,solar_th_ppl_base,2010,0.0,0.0
470,Norway,solar_th_ppl_base,2015,0.0,0.0
471,Norway,solar_th_ppl_base,2020,0.0,0.0
472,Norway,solar_th_ppl_base,2025,0.0,0.0
473,Norway,solar_th_ppl_base,2030,0.0,0.0
474,Norway,solar_th_ppl_base,2035,0.0,0.0
475,Norway,solar_th_ppl_base,2040,0.0,0.0
476,Norway,solar_th_ppl_base,2045,0.0,0.0
477,Norway,solar_th_ppl_base,2050,0.0,0.0
478,Norway,solar_th_ppl_base,2055,43.342937,0.0
479,Norway,solar_th_ppl_base,2060,0.0,0.0
480,Norway,solar_th_ppl_base,2065,456.64316,0.0
481,Norway,solar_th_ppl_base,2070,2191.3567,0.0
482,Norway,coal_exp,2010,0.0,0.0
483,Norway,coal_exp,2015,0.0,0.0
484,Norway,coal_exp,2020,0.0,14.78101
485,Norway,coal_exp,2025,0.0,9.426632
486,Norway,coal_exp,2030,0.0,5.9278526
487,Norway,coal_exp,2035,0.0,3.68414
488,Norway,coal_exp,2040,0.0,2.2679646
489,Norway,coal_exp,2045,0.0,1.3856844
490,Norway,coal_exp,2050,0.0,0.84171516
491,Norway,coal_exp,2055,0.0,0.5090464
492,Norway,coal_exp,2060,0.0,0.30686048
493,Norway,coal_exp,2065,0.0,0.18454911
494,Norway,coal_exp,2070,0.0,0.0
495,Norway,solar_i,2010,0.0,0.0
496,Norway,solar_i,2015,0.0,0.0
497,Norway,solar_i,2020,0.0,0.0
498,Norway,solar_i,2025,0.0,0.0
499,Norway,solar_i,2030,0.66789496,0.0
500,Norway,solar_i,2035,0.02958089,0.0
501,Norway,solar_i,2040,0.027571874,0.0
502,Norway,solar_i,2045,0.6919634,0.0
503,Norway,solar_i,2050,0.07897352,0.0
504,Norway,solar_i,2055,0.1179545,0.0
505,Norway,solar_i,2060,0.655805,0.0
506,Norway,solar_i,2065,0.0,0.0
507,Norway,solar_i,2070,0.0,0.0
508,Norway,gas_extr,2010,0.0,0.0
509,Norway,gas_extr,2015,0.0,0.0
510,Norway,gas_extr,2020,0.0,0.0
511,Norway,gas_extr,2025,0.0,0.0
512,Norway,gas_extr,2030,0.0,0.0
513,Norway,gas_extr,2035,0.0,0.0
514,Norway,gas_extr,2040,0.0,0.0
515,Norway,gas_extr,2045,0.0,0.0
516,Norway,gas_extr,2050,0.0,0.0
517,Norway,gas_extr,2055,0.0,0.0
518,Norway,gas_extr,2060,0.0,0.0
519,Norway,gas_extr,2065,351.7758,0.0
520,Norway,gas_extr,2070,12806.825,0.0
521,Norway,wind_ppl,2000,0.0,0.0
522,Norway,wind_ppl,2005,0.0,0.0
523,Norway,wind_ppl,2010,0.0,0.0
524,Norway,wind_ppl,2015,0.0,0.0
525,Norway,wind_ppl,2020,2.33,0.0
526,Norway,wind_ppl,2025,3.61,0.0
527,Norway,wind_ppl,2030,0.0,0.0
528,Norway,wind_ppl,2035,0.0,0.0
529,Norway,wind_ppl,2040,0.0,0.0
530,Norway,wind_ppl,2045,0.0,0.0
531,Norway,wind_ppl,2050,0.0,0.0
532,Norway,wind_ppl,2055,0.0,0.0
533,Norway,wind_ppl,2060,0.0,0.0
534,Norway,wind_ppl,2065,0.0,0.0
535,Norway,wind_ppl,2070,0.0,0.0
536,Norway,foil_exp,2010,0.0,0.0
537,Norway,foil_exp,2015,0.0,0.0
538,Norway,foil_exp,2020,0.0,0.0
539,Norway,foil_exp,2025,0.0,0.0
540,Norway,foil_exp,2030,0.0,0.0
541,Norway,foil_exp,2035,0.0,0.0
542,Norway,foil_exp,2040,0.0,0.0
543,Norway,foil_exp,2045,0.0,0.0
544,Norway,foil_exp,2050,0.0,0.0
545,Norway,foil_exp,2055,0.0,0.0
546,Norway,foil_exp,2060,0.0,0.0
547,Norway,foil_exp,2065,0.0,0.0
548,Norway,foil_exp,2070,551.4401,0.0
549,Norway,oil_exp,2010,0.0,0.0
550,Norway,oil_exp,2015,0.0,0.0
551,Norway,oil_exp,2020,0.0,13.894149
552,Norway,oil_exp,2025,0.0,8.861034
553,Norway,oil_exp,2030,0.0,5.572181
554,Norway,oil_exp,2035,0.0,3.4630916
555,Norway,oil_exp,2040,0.0,2.1318867
556,Norway,oil_exp,2045,0.0,1.3025433
557,Norway,oil_exp,2050,0.0,0.79121226
558,Norway,oil_exp,2055,0.0,0.47850358
559,Norway,oil_exp,2060,0.0,0.28844884
560,Norway,oil_exp,2065,0.0,0.17347616
561,Norway,oil_exp,2070,0.0,0.0
562,Norway,oil_extr,2010,0.0,0.0
563,Norway,oil_extr,2015,0.0,0.0
564,Norway,oil_extr,2020,0.0,0.0
565,Norway,oil_extr,2025,0.0,0.0
566,Norway,oil_extr,2030,0.0,0.0
567,Norway,oil_extr,2035,0.0,0.0
568,Norway,oil_extr,2040,0.0,0.0
569,Norway,oil_extr,2045,0.0,0.0
570,Norway,oil_extr,2050,0.0,0.0
571,Norway,oil_extr,2055,0.0,0.0
572,Norway,oil_extr,2060,0.0,0.0
573,Norway,oil_extr,2065,0.0,0.0
574,Norway,oil_extr,2070,134.8398,0.0
575,Norway,gas_exp,2010,0.0,0.0
576,Norway,gas_exp,2015,0.0,0.0
577,Norway,gas_exp,2020,0.0,10.642327
578,Norway,gas_exp,2025,0.0,6.787175
579,Norway,gas_exp,2030,0.0,4.268054
580,Norway,gas_exp,2035,0.0,2.6525807
581,Norway,gas_exp,2040,0.0,1.6329345
