Vannkraftverk;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Løpenummer;Navn;Type;Hovedeier;Org.nr. hovedeier;Fylke;Fylkesnr.;Kommune;Kommunenr.;Dato for første utnyttelse av fallet;Dato for eldste kraftproduserende del;Maks ytelse [MW];Midl. årsproduksjon (ref. 1981-2010) [GWh];Brutto fallhøyde [m];Maksimal slukeevne [m3/s];Energiekvivalent [kWh/m3];Elspotområde;Reginenr.
487;Valsøyfjord;Kraftverk;SVORKA PRODUKSJON AS;973058347;Møre og Romsdal;15;Halsa;71;01.01.1942;01.01.1942;4.28;19.21;187;3;0,396;3;113.512Z
490;Vangpollen;Kraftverk;VESTERÅLSKRAFT PRODUKSJON AS;977044863;Nordland;18;Sortland %u2013 Suortá;70;01.01.1942;01.01.1942;3.50;15.19;313;1,4;0,694;4;178.46Z
513;Ørje;Kraftverk;ØSTFOLD ENERGI AS;879904412;Østfold;1;Marker;19;01.01.1942;01.01.1942;1.75;9.75;9,5;20;0,024;1;1.00E+32
300;Nedre Tessa 1;Kraftverk;AS EIDEFOSS;911305631;Oppland;5;Vågå;15;11.08.1942;11.08.1942;7.00;17.98;146,5;5,6;0,326;3;002.DHB2A0
1007;Lesjaverk;Kraftverk;;;Oppland;5;Lesja;12;23.12.1942;23.12.1942;0.00;0.00;;;;3;002.DL
355;Sagnfossen;Kraftverk;E-CO ENERGI AS;976894677;Hedmark;4;Trysil;28;01.01.1943;24.11.2004;6.20;36.47;9,5;75;0,023;1;311.B2
437;Teksdal;Kraftverk;FOSENKRAFT ENERGI AS;883152212;Trøndelag;50;Bjugn;17;01.03.1943;01.03.1943;2.50;13.69;42;8,36;0,082;3;134.A
805;Årøy I;Kraftverk;SOGNEKRAFT AS;916069634;Sogn og Fjordane;14;Sogndal;20;20.12.1943;20.12.1943;4.00;0.00;130;5;;5;077.A2
160;Hommelfoss;Kraftverk;BKK PRODUKSJON AS;876944642;Hordaland;12;Masfjorden;66;01.01.1944;26.02.1986;2.80;14.05;186,5;1,79;0,435;5;067.3A0
204;Kjosfoss;Kraftverk;BANE NOR SF;917082308;Sogn og Fjordane;14;Aurland;21;01.01.1944;01.01.1944;4.20;25.08;97,3;4,69;0,207;5;072.2B
897;Langli;Kraftverk;ISTAD KRAFT AS;923253920;Møre og Romsdal;15;Molde;2;01.01.1944;01.01.1944;1.20;4.50;42;3,2;0,104;3;105.3C
877;Helle Bruk;Kraftverk;HELLE BRUK AS;913403010;Telemark;8;Kragerø;15;01.01.1945;01.01.1945;0.60;1.50;;;;2;017.22A
143;Hensfoss;Kraftverk;GLITRE ENERGI PRODUKSJON AS;979487223;Buskerud;6;Ringerike;5;01.01.1946;01.01.1946;16.70;106.52;24;87,52;0,052;1;012.F24
917;Kleivafoss;Kraftverk;MJØLFJELL UNGDOMSHERBERGE AS;966915560;Hordaland;12;Voss;35;01.01.1946;01.01.1946;0.20;1.00;23;;;5;062.FC2
771;Tveitafoss;Kraftverk;HARDANGER ENERGI AS;983502601;Hordaland;12;Eidfjord;32;01.01.1946;01.01.1946;1.70;7.18;62;2,7;0,175;5;050.B
7;Askerudfoss;Kraftverk;VIUL KRAFT AS;961113539;Buskerud;6;Ringerike;5;01.07.1946;01.07.1946;13.20;58.05;20,6;76,38;0,048;1;012.EA6
293;Nedre Fiskumfoss;Kraftverk;NTE ENERGI AS;988340715;Trøndelag;50;Grong;45;03.11.1946;03.11.1946;41.50;301.92;34,5;140,6;0,082;3;139.C2
311;Nore II;Kraftverk;STATKRAFT ENERGI AS;987059729;Buskerud;6;Nore og Uvdal;33;12.11.1946;12.11.1946;52.00;203.69;100;68,12;0,212;1;015.H6
210;Kongsfjord I;Kraftverk;PASVIK KRAFT AS;982795745;Finnmark - Finnmárku;20;Berlevåg;24;22.12.1946;22.12.1946;4.40;19.26;70,5;7,28;0,167;4;236.AA4Z
119;Grønnedal;Kraftverk;ISTAD KRAFT AS;923253920;Møre og Romsdal;15;Molde;2;01.01.1947;01.01.1947;1.76;6.66;60;3,2;0,153;3;105.4A6
127;Hammerfest;Kraftverk;HAMMERFEST ENERGI AS;986950281;Finnmark - Finnmárku;20;Hammerfest;4;01.01.1947;01.01.1947;1.10;6.05;88;1,79;0,17;4;217.4A
929;Nesset;Kraftverk;TUSSA ENERGI AS;876795442;Møre og Romsdal;15;Hareid;17;01.01.1947;01.01.1947;0.50;2.00;;;;3;096.1BB
1;Aall-Ulefoss;Kraftverk;RINGERIKSKRAFT PRODUKSJON AS;987293586;Telemark;8;Nome;19;01.01.1948;01.01.1948;5.70;44.02;10,6;66;0,025;2;016.BA11
177;Høylandsfoss;Kraftverk;AGDER ENERGI VANNKRAFT AS;882973972;Vest-Agder;10;Kvinesdal;37;01.01.1948;01.01.1948;7.50;35.27;54,5;16,79;0,123;2;025.3A2
1090;Kongsfossen;Kraftverk;LOFOTKRAFT PRODUKSJON AS;987081414;Nordland;18;Vågan;65;01.01.1948;01.01.1948;0.60;2.30;;;;4;179.4C
1091;Sætra;Kraftverk;LOFOTKRAFT PRODUKSJON AS;987081414;Nordland;18;Vågan;65;01.01.1948;01.01.1948;0.70;2.30;;;;4;179.41C2
334;Reinset;Kraftverk;NEAS AS;960684737;Møre og Romsdal;15;Sunndal;63;25.02.1948;25.02.1948;4.90;16.66;263,6;2,5;0,544;3;111.5B4
852;Storelva;Kraftverk;HÅLOGALAND KRAFT PRODUKSJON AS;912432181;Troms;19;Ibestad;17;27.09.1948;27.09.1948;0.47;2.63;;;;4;192.2
288;Mår;Kraftverk;STATKRAFT ENERGI AS;987059729;Telemark;8;Tinn;26;26.11.1948;26.11.1948;180.00;736.83;823;27,5;1,818;2;016.H31
120;Grønsdal;Kraftverk;BKK PRODUKSJON AS;876944642;Hordaland;12;Samnanger;42;12.12.1948;12.12.1948;36.00;154.54;165;22;0,455;5;055.C1
186;Iveland;Kraftverk;AGDER ENERGI VANNKRAFT AS;882973972;Aust-Agder;9;Iveland;35;01.01.1949;01.01.1949;87.00;501.20;50,5;216;0,112;2;021.B1
243;Liafoss;Kraftverk;ALBERT COLLETT;911074184;Trøndelag;50;Nærøy;51;01.01.1949;01.01.1949;2.90;24.71;45,59;8,8;0,101;3;141.B
1192;Nunelva;Kraftverk;TRØNDERENERGI KRAFT AS;878631072;Trøndelag;50;Åfjord;18;01.01.1949;01.01.1949;0.32;1.15;140;0,235;;3;136.1Z
467;Tyria I;Kraftverk;E-CO ENERGI AS;976894677;Hedmark;4;Ringsaker;12;01.01.1949;01.01.1949;3.30;15.88;176;2,4;0,381;1;002.DD5B0
155;Hol I (Votna);Kraftverk;E-CO ENERGI AS;976894677;Buskerud;6;Hol;20;01.02.1949;01.02.1949;114.00;379.80;408;31,2;1,015;5;012.CFB0
107;Gausvik III;Kraftverk;HÅLOGALAND KRAFT PRODUKSJON AS;912432181;Troms;19;Harstad %u2013 Hárstták;3;03.02.1949;03.02.1949;0.95;5.62;32;4,98;0,067;4;177.5A5
135;Haukland;Kraftverk;DALANE KRAFT AS;982388406;Rogaland;11;Lund;12;06.08.1949;06.08.1949;4.90;19.80;252,5;2,2;0,619;2;026.BA12
495;Nye Verma;Kraftverk;RAUMA ENERGI AS;970974253;Møre og Romsdal;15;Rauma;39;14.11.1949;16.05.2019;23.20;119.20;424,4;6;0,929;3;103.AA1
233;Langfjord;Kraftverk;HELGELAND KRAFT VANNKRAFT AS;917424896;Nordland;18;Brønnøy;13;19.11.1949;22.12.2005;9.00;38.87;255;4;0,625;4;148.31Z
1099;Breivikbotn;Kraftverk;HAMMERFEST ENERGI AS;986950281;Finnmark - Finnmárku;20;Hasvik;15;01.01.1950;01.01.1950;0.84;4.01;;;;4;216.5A
1175;Follebu bruk;Kraftverk;FOLLEBU BRUK AS;811747912;Oppland;5;Gausdal;22;01.01.1950;01.01.1950;0.40;1.20;;;;1;002.DDA0
368;Sjøfossen;Kraftverk;SKS PRODUKSJON AS;915637353;Nordland;18;Gildeskål;38;01.01.1950;01.01.1950;3.60;20.63;57;8;0,125;4;161.1Z
388;Skulafossen;Kraftverk;KVAM KRAFTVERK AS;979599684;Hordaland;12;Kvam;38;01.01.1950;01.01.1950;4.50;22.36;175;3,6;0,379;5;053.2Z
182;Ildgrubfossen;Kraftverk;HELGELAND KRAFT VANNKRAFT AS;917424896;Nordland;18;Rana;33;01.07.1950;01.07.1950;6.50;31.71;220;3;0,493;4;156.AB2
364;Sikkajokk;Kraftverk;YMBER PRODUKSJON AS;914678412;Troms;19;Nordreisa - Ráisa - Raisi ;42;11.09.1950;23.12.2010;1.90;8.33;327;0,8;0,66;4;206.52Z
129;Hardeland H;Kraftverk;SUNNHORDLAND KRAFTLAG AS;916435711;Hordaland;12;Etne;11;26.11.1950;26.11.1950;24.00;89.42;418,6;7,5;0,889;2;041.AC30
192;Kaggefoss;Kraftverk;GLITRE ENERGI PRODUKSJON AS;979487223;Buskerud;6;Modum;23;01.01.1951;01.01.1951;85.50;586.88;70;143;0,165;1;012.CA4
216;Krokvatn;Kraftverk;LOFOTKRAFT PRODUKSJON AS;987081414;Nordland;18;Moskenes;74;01.01.1951;01.01.1951;2.00;10.06;344;0,8;0,694;4;181.4Z
327;Osvatn;Kraftverk;SMÅKRAFT AS;984616155;Hordaland;12;Osterøy;53;01.01.1951;01.01.1951;2.30;12.26;205;1,35;0,473;5;060.6B0
425;Sørbrandal;Kraftverk;TUSSA ENERGI AS;876795442;Møre og Romsdal;15;Vanylven;11;01.01.1951;01.01.1951;9.50;41.76;369;2,3;0,882;3;093.1Z
1682;Verket;Kraftverk;AS EGELANDS VERK;911281732;Aust-Agder;9;Gjerstad;11;01.01.1951;01.01.1951;0.43;1.00;52;0,95;0,128;2;018.3B1A
65;Dynjanfoss;Kraftverk;AGDER ENERGI VANNKRAFT AS;882973972;Telemark;8;Nissedal;30;31.10.1951;31.10.1951;33.00;173.19;80,19;47,99;0,191;2;019.DA3
524;Åbjøra;Kraftverk;SKAGERAK KRAFT AS;979563531;Oppland;5;Nord-Aurdal;42;02.12.1951;02.12.1951;95.00;473.61;442;24;1,1;1;012.J81
979;Bjørsvik;Kraftverk;Norwegian Preserving Co AS;930612375;Hordaland;12;Lindås;63;01.01.1952;01.01.1952;0.50;1.50;;;;5;64.6
60;Djupfjord I;Kraftverk;VESTERÅLSKRAFT PRODUKSJON AS;977044863;Nordland;18;Sortland %u2013 Suortá;70;01.01.1952;01.01.1952;5.10;23.53;146;4;0,354;4;178.44A
81;Fausa II;Kraftverk;STRANDA ENERGI AS;979951140;Møre og Romsdal;15;Stranda;25;01.01.1952;01.01.1975;7.00;44.10;330;2,5;0,678;3;098.2A
229;Kåven;Kraftverk;ALTA KRAFTLAG SA;971029390;Finnmark - Finnmárku;20;Alta;12;01.01.1952;01.01.1952;4.50;17.81;115;4,48;0,236;4;211.7A
253;Lovik;Kraftverk;ANDØY ENERGI AS;971048611;Nordland;18;Andøy;71;01.01.1952;01.01.1952;1.20;4.52;92;1,79;0,185;4;178.74A4
344;Rottenvik;Kraftverk;TROMS KRAFT PRODUKSJON AS;979152116;Troms;19;Lyngen;38;01.01.1952;01.01.1952;5.49;19.72;448,84;1,5;1,017;4;204.3A2
452;Trollfjord I;Kraftverk;TROLLFJORD KRAFT AS;917983585;Nordland;18;Hadsel;66;01.01.1952;01.12.2002;3.20;13.40;178;2,1;0,423;4;179.2121Z
431;Tafjord 2;Kraftverk;TAFJORD KRAFTPRODUKSJON AS;977461898;Møre og Romsdal;15;Norddal;24;31.01.1952;31.01.1952;29.50;150.54;390;9,3;0,911;3;099.C
218;Kuråsfoss;Kraftverk;REN RØROS STRØM AS;919884428;Trøndelag;50;Røros;25;06.04.1952;06.04.1952;10.60;56.00;48;27,5;0,107;1;002.R62
502;Vik;Kraftverk;TRØNDERENERGI KRAFT AS;878631072;Trøndelag;50;Roan;19;25.10.1952;25.10.1952;1.20;7.41;87;1,7;0,195;3;137.1B
104;Gandvik;Kraftverk;PASVIK KRAFT AS;982795745;Finnmark - Finnmárku;20;Unjárga %u2013 Nesseby;27;10.12.1952;10.12.1952;4.80;21.59;184;3,4;0,391;4;242.4Z
1206;Cabardasjohka;Kraftverk;YMBER PRODUKSJON AS;914678412;Finnmark - Finnmárku;20;Guovdageaidnu %u2013 Kautokeino;11;01.01.1953;22.10.2003;0.70;3.50;5,5;14;;4;212.GA4
159;Hellefoss;Kraftverk;HELLEFOSS KRAFT AS;912756734;Buskerud;6;Øvre Eiker;24;01.01.1953;01.01.1953;11.00;81.22;5,3;240;0,0127;1;012.B22
1899;Lysebotn 2;Kraftverk;LYSE PRODUKSJON AS;980335216;Rogaland;11;Forsand;29;08.01.1953;18.04.2018;370.00;1500.00;669,7;60;1,713;2;031.AZ
370;Åmdal;Kraftverk;SKAFSÅ KRAFTVERK ANS;840044262;Telemark;8;Tokke;33;04.02.1953;04.02.1953;21.00;101.90;252;9,6;0,593;2;019.B41
339;Repvåg;Kraftverk;REPVÅG KRAFTLAG SA;948755742;Finnmark - Finnmárku;20;Nordkapp;19;21.02.1953;21.02.1953;4.20;24.62;177;3,09;0,375;4;222.2Z
16;Bardufoss;Kraftverk;STATKRAFT ENERGI AS;987059729;Troms;19;Målselv;24;01.10.1953;01.10.1953;41.50;221.33;52,79;79,69;0,122;4;196.AA3
382;Skoddeberg;Kraftverk;HÅLOGALAND KRAFT PRODUKSJON AS;912432181;Troms;19;Skånland;13;28.10.1953;28.10.1953;6.78;26.99;70;10,6;0,178;4;189.C4
318;Oldereid;Kraftverk;SKS PRODUKSJON AS;915637353;Nordland;18;Bodø;4;01.11.1953;01.11.1953;15.00;76.66;319;5,35;0,779;4;162.7Z
387;Skotfoss;Kraftverk;SKIEN KRAFTPRODUKSJON AS;985316406;Telemark;8;Skien;6;01.11.1953;01.11.1953;24.00;183.39;10;280;0,023;2;016.B2
302;Nedre Vinstra;Kraftverk;E-CO ENERGI AS;976894677;Oppland;5;Nord-Fron;16;05.11.1953;05.11.1953;308.00;1263.56;443,2;80,02;1,069;1;002.DF831
511;Øksenelvane;Kraftverk;SFE PRODUKSJON AS;984882106;Sogn og Fjordane;14;Bremanger;38;01.12.1953;02.08.1955;28.00;162.01;375;8,39;0,926;3;086.7Z
150;Hodnaberg;Kraftverk;VOSS ENERGI PRODUKSJON AS;984665776;Hordaland;12;Voss;35;19.12.1953;19.12.1953;32.50;110.34;300;13,01;0,694;5;061.D
335;Rekvatn;Kraftverk;NORD-SALTEN KRAFT AS;995114666;Nordland;18;Hamarøy %u2013 Hábmer;49;19.12.1953;19.12.1953;23.30;86.43;207,5;13,31;0,43;4;170.C4
5;Ardalen;Kraftverk;SMÅKRAFT AS;984616155;Hordaland;12;Vaksdal;51;01.01.1954;01.01.1954;2.50;14.05;120;2,29;0,289;5;061.4B0
69;Eidesfossen;Kraftverk;HARDANGER ENERGI AS;983502601;Hordaland;12;Jondal;27;01.01.1954;01.01.1954;3.80;19.80;70;6,8;0,155;5;047.2B0
109;Gjerdsvika;Kraftverk;TUSSA ENERGI AS;876795442;Møre og Romsdal;15;Sande i Møre og Romsdal;14;01.01.1954;01.01.1954;4.00;10.16;196;2,3;0,487;3;096.4Z
280;Hattebergsdalen;Kraftverk;KVINNHERAD ENERGI AS;966309202;Hordaland;12;Kvinnherad;24;01.01.1954;01.01.1954;4.96;24.53;155,5;3,63;0,38;2;045.4B
273;Moflåt;Kraftverk;NORSK HYDRO RJUKAN NÆRINGSPARK;974283646;Telemark;8;Tinn;26;01.01.1954;01.01.1954;30.00;140.49;47,5;78;0,107;2;016.H4
296;Nedre Markevatn;Kraftverk;SFE PRODUKSJON AS;984882106;Sogn og Fjordane;14;Askvoll;28;01.01.1954;01.01.1954;2.80;9.36;42;8,35;0,093;3;084.5A
484;Vafos;Kraftverk;SKAGERAK KRAFT AS;979563531;Telemark;8;Kragerø;15;01.01.1954;01.01.2008;4.89;28.30;13,19;40;0,032;2;017.A0
270;Midtre Tessa;Kraftverk;AS EIDEFOSS;911305631;Oppland;5;Vågå;15;12.02.1954;12.02.1954;7.00;18.30;159,5;5,44;0,356;3;002.DHB2A0
398;Stakaldefoss;Kraftverk;SUNNFJORD ENERGI AS;916501420;Sogn og Fjordane;14;Jølster;31;01.07.1954;01.07.1954;10.00;65.45;43,79;31,2;0,089;3;084.D
18;Begna;Kraftverk;GLITRE ENERGI PRODUKSJON AS;979487223;Buskerud;6;Ringerike;5;01.08.1954;01.08.1954;5.60;37.12;8;81,87;0,018;1;012.F23
305;Niingen;Kraftverk;HÅLOGALAND KRAFT PRODUKSJON AS;912432181;Nordland;18;Evenes;53;05.08.1954;05.08.1954;17.00;69.56;501,7;4,08;1,157;4;175.2B
179;Håkvik;Kraftverk;NORDKRAFT MAGASIN AS;928657213;Nordland;18;Narvik;5;31.08.1954;31.08.1954;12.00;41.37;216,6;6,4;0,521;4;174.2Z
371;Osen;Kraftverk;SKAFSÅ KRAFTVERK ANS;840044262;Telemark;8;Kviteseid;29;07.11.1954;07.11.1954;16.50;67.51;92,3;21,31;0,215;2;019.G
96;Fosse;Kraftverk;BKK PRODUKSJON AS;876944642;Hordaland;12;Vaksdal;51;22.11.1954;22.11.1954;25.00;165.05;96,5;30;0,231;5;061.B2
202;Kistefoss II;Kraftverk;AS RANDSFJORD TREMASSE- & PAPIRFABRIKK;915297331;Oppland;5;Jevnaker;32;01.01.1955;01.01.1955;4.20;23.77;10,5;44,43;0,025;1;012.EA6
208;Kolfossen;Kraftverk;TUSSA ENERGI AS;876795442;Møre og Romsdal;15;Volda;19;01.01.1955;01.01.1955;2.70;14.41;46;7;0,083;3;094.4C
304;Neverdalsåga;Kraftverk;STATKRAFT ENERGI AS;987059729;Nordland;18;Meløy;37;01.01.1955;01.01.1955;2.10;12.32;213;1,39;0,416;4;160.3A
439;Tinfos I;Kraftverk;TINFOS AS;916763476;Telemark;8;Notodden;7;01.01.1955;01.01.1955;41.00;190.96;29,2;160;0,071;2;016.F2
464;Tveitereidfoss;Kraftverk;SKAGERAK KRAFT AS;979563531;Telemark;8;Kragerø;15;01.01.1955;01.01.1955;2.60;13.67;9,3;40,11;0,017;2;017.AZ
298;Nedre Røssåga;Kraftverk;STATKRAFT ENERGI AS;987059729;Nordland;18;Hemnes;32;24.03.1955;24.03.1955;350.00;2001.00;244,4;165;0,589;4;155.B1
75;Einunna;Kraftverk;E-CO ENERGI AS;976894677;Hedmark;4;Folldal;39;30.03.1955;30.03.1955;9.00;42.69;121,69;8,98;0,277;1;002.MBA4
9;Aura;Kraftverk;STATKRAFT ENERGI AS;987059729;Møre og Romsdal;15;Sunndal;63;24.06.1955;24.06.1955;290.00;1852.07;783;46;1,751;3;109.5A1
180;Hålandsfoss;Kraftverk;SUNNFJORD ENERGI AS;916501420;Sogn og Fjordane;14;Fjaler;29;01.07.1955;01.07.1955;4.85;22.58;60;10;0,135;3;082.5A1
441;Tistedalsfoss;Kraftverk;HALDEN KRAFTPRODUKSJON AS;887287562;Østfold;1;Halden;1;15.11.1955;15.11.1955;20.00;107.58;66,09;36,08;0,153;1;001.A5
234;Langfoss;Kraftverk;SKAGERAK KRAFT AS;979563531;Telemark;8;Kragerø;15;01.12.1955;01.12.1955;2.40;13.14;7,69;39,22;0,017;2;017.A0
39;Brattingfoss;Pumpekraftverk;NTE ENERGI AS;988340715;Trøndelag;50;Verran;39;05.12.1955;05.12.1955;10.70;31.11;118,3;12;0,248;3;129.B0
73;Eidsfoss;Kraftverk;VANG ENERGIVERK KF;871028362;Oppland;5;Vang;45;01.01.1956;01.01.1956;4.10;16.30;49;10,85;0,104;1;012.Q2
154;Hol I (Urunda);Kraftverk;E-CO ENERGI AS;976894677;Buskerud;6;Hol;20;01.01.1956;01.11.1956;106.00;371.73;308;32,4;0,909;5;012.CFB0
224;Kvitfossen;Kraftverk;LOFOTKRAFT PRODUKSJON AS;987081414;Nordland;18;Vågan;65;01.01.1956;01.01.1956;1.80;6.36;240;1;0,5;4;179.33A
286;Mågeli;Kraftverk;STATKRAFT ENERGI AS;987059729;Hordaland;12;Odda;28;01.01.1956;01.01.1956;29.00;132.18;610;5,8;1,389;2;049.A41
395;Solbjørn;Kraftverk;LOFOTKRAFT PRODUKSJON AS;987081414;Nordland;18;Flakstad;59;01.01.1956;01.01.1956;4.20;6.47;84;8,22;0,142;4;181.3A
453;Trollfjord II;Kraftverk;TROLLFJORD KRAFT AS;917983585;Nordland;18;Hadsel;66;01.01.1956;01.01.1956;1.40;4.11;450;0,4;0,972;4;179.211Z
161;Honnefoss;Kraftverk;DALANE KRAFT AS;982388406;Rogaland;11;Eigersund;1;07.02.1956;07.02.1956;2.88;8.76;39,59;8,52;0,075;2;027.1C2
289;Mårøyfjord;Kraftverk;NORDKYN KRAFTLAG SA;956740134;Finnmark - Finnmárku;20;Lebesby;22;09.02.1956;09.02.1956;4.40;22.56;225,3;2,5;0,489;4;230.3A1
522;Øvre Tessa;Kraftverk;AS EIDEFOSS;911305631;Oppland;5;Vågå;15;20.02.1956;20.02.1956;16.00;72.56;175;11,19;0,397;3;002.DHB2B
337;Reppa;Kraftverk;RØDØY-LURØY KRAFTVERK AS;915558119;Nordland;18;Rødøy;36;16.11.1956;16.11.1956;10.00;62.70;575;2,1;1,323;4;159.7Z
254;Luostejok;Kraftverk;LUOSTEJOK KRAFTLAG SA;938260494;Finnmark - Finnmárku;20;Porsanger %u2013 Porsá%u014Bgu %u2013 Porsanki;20;15.12.1956;15.12.1956;1.70;11.23;31;7,73;0,061;4;2.24E+14
61;Djupfjord II;Kraftverk;VESTERÅLSKRAFT PRODUKSJON AS;977044863;Nordland;18;Sortland %u2013 Suortá;70;01.01.1957;01.01.1957;2.60;8.11;109;3,29;0,218;4;178.44B
87;Fjæremsfoss;Kraftverk;STATKRAFT ENERGI AS;987059729;Trøndelag;50;Klæbu;30;01.01.1957;01.01.1957;18.80;70.37;27;80,33;0,064;3;123.A5
134;Haukeli;Kraftverk;STATKRAFT ENERGI AS;987059729;Telemark;8;Vinje;34;01.01.1957;01.01.1957;4.90;38.00;268;2,14;0,636;2;016.BED2A
156;Hol II;Kraftverk;E-CO ENERGI AS;976894677;Buskerud;6;Hol;20;01.01.1957;01.01.1957;26.00;110.10;47,7;71;0,102;5;012.CFA6
181;Håverstad;Kraftverk;AGDER ENERGI VANNKRAFT AS;882973972;Vest-Agder;10;Åseral;26;01.01.1957;01.01.1957;48.00;293.74;85;75;0,178;2;022.D80
263;Matre H;Kraftverk;BKK PRODUKSJON AS;876944642;Hordaland;12;Masfjorden;66;01.01.1957;13.04.2016;180.00;679.90;528,5;37,7;1,326;5;067.2Z
284;Mæl;Kraftverk;NORSK HYDRO RJUKAN NÆRINGSPARK;974283646;Telemark;8;Tinn;26;01.01.1957;01.01.1957;37.50;185.60;44,79;94;0,111;2;016.H2
1185;Rosendal;Kraftverk;ROSENDAL ELEKTRISITETSVERK AS;982173779;Hordaland;12;Kvinnherad;24;01.01.1957;01.01.1957;0.50;4.00;;;;2;045.4AA
399;Steinsfoss;Kraftverk;AGDER ENERGI VANNKRAFT AS;882973972;Vest-Agder;10;Vennesla;14;01.01.1957;01.01.1957;110.00;542.22;58;244,44;0,125;2;021.A61
148;Hjertvatn;Kraftverk;BALLANGEN ENERGI AS;971592117;Nordland;18;Ballangen;54;01.07.1957;01.07.1957;2.50;6.26;194,9;2,15;0,323;4;172.B
44;Brekkefoss;Kraftverk;E-CO ENERGI AS;976894677;Buskerud;6;Hemsedal;18;24.07.1957;24.07.1957;1.60;11.36;38;4,48;0,098;5;012.CDBA1
746;Byafossen;Kraftverk;NTE ENERGI AS;988340715;Trøndelag;50;Steinkjer;4;01.10.1957;01.10.1957;6.00;34.80;8;75;0,022;3;128.B1
308;Nord-Forså;Kraftverk;HÅLOGALAND KRAFT PRODUKSJON AS;912432181;Troms;19;Ibestad;17;03.11.1957;03.11.1957;1.10;7.60;236;0,5;0,611;4;188.23Z
110;Gjuva;Kraftverk;E-CO ENERGI AS;976894677;Buskerud;6;Hemsedal;18;29.12.1957;29.12.1957;10.00;32.81;410;3;0,925;5;012.CDBB0
21;Berlifoss;Kraftverk;AGDER ENERGI VANNKRAFT AS;882973972;Telemark;8;Nissedal;30;01.01.1958;01.01.1958;9.50;62.15;29;39,97;0,065;2;019.DA1
55;Daja;Kraftverk;SKS PRODUKSJON AS;915637353;Nordland;18;Fauske %u2013 Fuossko;41;01.01.1958;01.01.1958;30.00;155.72;155;24;0,347;4;1.64E+05
157;Hol III;Kraftverk;E-CO ENERGI AS;976894677;Buskerud;6;Hol;20;01.01.1958;01.01.1958;60.00;233.45;98;73,41;0,226;5;012.CF5
197;Kammerfoss;Kraftverk;SKAGERAK KRAFT AS;979563531;Telemark;8;Kragerø;15;01.01.1958;01.01.1958;1.90;11.99;6,4;36;0,015;2;017.A0
417;Svelgen II;Kraftverk;SVELGEN KRAFT AS;986530649;Sogn og Fjordane;14;Bremanger;38;01.01.1958;01.01.1958;29.00;191.14;480;7,5;1,074;3;086.21A
419;Svelgfoss;Kraftverk;NORSK HYDRO RJUKAN NÆRINGSPARK;974283646;Telemark;8;Notodden;7;01.01.1958;01.01.1958;92.00;424.10;69;170;0,151;2;016.F2
468;Tyria II;Kraftverk;E-CO ENERGI AS;976894677;Hedmark;4;Ringsaker;12;01.01.1958;01.01.1958;2.20;9.99;114;2,8;0,234;1;002.DD5BA
130;Hardeland K;Kraftverk;SUNNHORDLAND KRAFTLAG AS;916435711;Hordaland;12;Etne;11;04.02.1958;04.02.1958;12.00;46.25;325;4,5;0,74;2;041.AC30
506;Viulfoss;Kraftverk;VIUL KRAFT AS;961113539;Buskerud;6;Ringerike;5;01.07.1958;01.07.1958;12.50;46.69;17,29;82;0,042;1;012.EA1
432;Tafjord 3;Kraftverk;TAFJORD KRAFTPRODUKSJON AS;977461898;Møre og Romsdal;15;Norddal;24;16.09.1958;16.09.1958;22.00;90.93;329;8;0,764;3;099.D222
147;Hjartdøla;Kraftverk;SKAGERAK KRAFT AS;979563531;Telemark;8;Hjartdal;27;17.10.1958;17.10.1958;120.00;425.25;575;24,6;1,355;2;016.EC1
140;Helleren;Kraftverk;HÅLOGALAND KRAFT PRODUKSJON AS;912432181;Troms;19;Skånland;13;03.11.1958;03.11.1958;2.40;9.69;20;15;0,044;4;189.A
195;Kaldåga;Kraftverk;HELGELAND KRAFT VANNKRAFT AS;917424896;Nordland;18;Vefsn;24;12.11.1958;12.11.1958;15.00;71.96;565;3,29;1,263;4;152.2C
322;Osbu;Kraftverk;STATKRAFT ENERGI AS;987059729;Møre og Romsdal;15;Sunndal;63;15.12.1958;15.12.1958;20.00;112.19;56;45,9;0,123;3;109.5D3
1207;Bergsfjord;Kraftverk;YMBER PRODUKSJON AS;914678412;Finnmark - Finnmárku;20;Loppa;14;01.01.1959;14.12.2006;1.10;4.00;;;;4;211.34A
297;Nedre Porsa;Kraftverk;PORSA KRAFTLAG AS;915231640;Finnmark - Finnmárku;20;Kvalsund;17;01.01.1959;01.01.1959;12.80;58.41;215;7,69;0,462;4;213.5Z
94;Skagen;Kraftverk;NORSK HYDRO RJUKAN NÆRINGSPARK;974283646;Sogn og Fjordane;14;Luster;26;01.01.1959;01.01.1959;270.00;1407.00;967;32,5;2,308;5;075.BA0
8;Aunfoss;Kraftverk;NTE ENERGI AS;988340715;Trøndelag;50;Grong;45;05.06.1959;05.06.1959;29.54;214.18;28,5;129,92;0,061;3;139.D2
523;Øvre Vinstra;Kraftverk;E-CO ENERGI AS;976894677;Oppland;5;Nord-Fron;16;26.08.1959;26.08.1959;140.00;629.78;329,29;48;0,81;1;002.DFBA4
